,Title,As of,Rank,Year to Date Rank,Last Week Rank,Title.1,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,year,Viewership Score
0,#Alive,2020-09-14,8,6,-,#Alive,Movie,Yes,2020-09-08,6,2020,22.333333333333332
1,17 Again,2021-01-08,8,5,-,17 Again,Movie,No,2021-01-01,7,2021,18.857142857142858
2,1BR,2020-08-29,10,6,-,1BR,Movie,No,2020-08-23,5,2020,10.0
3,2 Hearts,2021-06-13,10,10,4,2 Hearts,Movie,No,2021-06-02,11,2021,35.09090909090909
4,21 Jump Street,2021-11-10,10,9,5,21 Jump Street,Movie,No,2021-11-01,9,2021,26.333333333333332
5,30 Minutes or Less,2021-01-07,9,8,-,30 Minutes or Less,Movie,No,2021-01-01,5,2021,10.2
6,365 Days,2020-07-05,10,10,4,365 Days,Movie,Yes,2020-07-07,28,2020,125.28571428571429
7,A Babysitterâs Guide to Mon…,2020-10-19,6,6,-,A Babysitterâs Guide to Mon…,Movie,Yes,2020-10-15,3,2020,10.0
8,A Boy Called Christmas,2021-12-26,8,8,-,A Boy Called Christmas,Movie,Yes,2021-11-24,9,2021,14.777777777777779
9,A California Christmas,2020-12-22,8,3,1,A California Christmas,Movie,Yes,2020-12-14,8,2020,42.75
10,A California Christmas: Cit…,2021-12-22,9,6,-,A California Christmas: Cit…,Movie,Yes,2021-12-16,6,2021,26.166666666666668
11,A Castle for Christmas,2021-12-03,10,10,-,A Castle for Christmas,Movie,Yes,2021-11-26,7,2021,20.571428571428573
12,A Haunted House 2,2021-06-15,9,9,-,A Haunted House 2,Movie,No,2021-06-10,2,2021,3.0
13,A Thousand Words,2020-07-07,9,8,-,A Thousand Words,Movie,No,2020-07-01,4,2020,9.25
14,A Week Away,2021-03-31,10,10,-,A Week Away,Movie,Yes,2021-03-26,4,2021,9.25
15,After We Collided,2020-12-31,7,7,2,After We Collided,Movie,No,2020-12-22,9,2020,37.111111111111114
16,After We Fell,2022-01-21,9,4,-,After We Fell,Movie,No,2022-01-17,4,2022,18.0
17,Afterlife of the Party,2021-09-10,9,8,2,Afterlife of the Party,Movie,Yes,2021-09-02,8,2021,32.375
18,Aftermath,2021-08-12,8,8,-,Aftermath,Movie,Yes,2021-08-04,7,2021,19.0
19,Against the Ice,2022-03-04,9,9,-,Against the Ice,Movie,Yes,2022-03-02,2,2022,3.0
20,All About the Benjamins,2021-02-10,10,9,-,All About the Benjamins,Movie,No,2021-02-01,6,2021,21.666666666666668
21,All Day and a Night,2020-05-07,10,7,-,All Day and a Night,Movie,Yes,2020-05-01,6,2020,17.166666666666668
22,American Me,2021-04-29,8,9,-,American Me,Movie,No,2021-04-17,3,2021,4.333333333333333
23,American Murder: The Family…,2020-10-15,10,7,2,American Murder: The Family…,Movie,Yes,2020-09-30,15,2020,73.13333333333334
24,American Pie Presents: Girl…,2020-10-14,9,6,6,American Pie Presents: Girl…,Movie,No,2020-10-06,8,2020,23.875
25,American Pie: Reunion,2021-11-19,9,-,-,American Pie: Reunion,Movie,No,2021-11-16,2,2021,8.0
26,An Unfinished Life,2021-09-19,10,9,-,An Unfinished Life,Movie,No,2021-09-01,7,2021,10.0
27,Anaconda,2020-09-08,9,9,-,Anaconda,Movie,No,2020-09-01,2,2020,3.0
28,Angel Has Fallen,2020-04-16,10,10,4,Angel Has Fallen,Movie,No,2020-04-04,12,2020,37.5
29,Animal Crackers,2020-08-04,10,8,5,Animal Crackers,Movie,Yes,2020-07-24,11,2020,34.72727272727273
30,Animals on the Loose: A You…,2021-02-17,9,-,-,Animals on the Loose: A You…,Movie,Yes,2021-02-16,1,2021,2.0
31,Annabelle: Creation,2022-01-24,7,7,-,Annabelle: Creation,Movie,No,2022-01-20,4,2022,9.0
32,Arctic Dogs,2020-05-08,8,8,-,Arctic Dogs,Movie,No,2020-05-04,4,2020,11.25
33,Are We There Yet?,2021-02-08,10,-,-,Are We There Yet?,Movie,No,2021-02-01,1,2021,1.0
34,Army of Thieves,2021-11-07,9,10,2,Army of Thieves,Movie,Yes,2021-10-29,9,2021,37.22222222222222
35,Army of the Dead,2021-06-09,10,-,7,Army of the Dead,Movie,Yes,2021-05-21,18,2021,76.16666666666667
36,Athlete A,2020-06-30,6,4,-,Athlete A,Movie,Yes,2020-06-24,5,2020,15.6
37,Ava,2020-12-18,9,4,1,Ava,Movie,No,2020-12-07,11,2020,47.72727272727273
38,Awake,2021-06-17,10,8,2,Awake,Movie,Yes,2021-06-09,8,2021,33.875
39,Baby Mama,2020-06-25,9,9,-,Baby Mama,Movie,No,2018-12-16,4,2020,6.75
40,Back to the Outback,2021-12-31,9,10,4,Back to the Outback,Movie,Yes,2021-12-10,20,2021,65.65
41,Bad Teacher,2020-10-02,8,3,-,Bad Teacher,Movie,No,2020-09-27,5,2020,19.8
42,Bad Trip,2021-04-05,7,4,1,Bad Trip,Movie,No,2021-03-26,9,2021,47.333333333333336
43,Badland,2020-04-01,9,8,-,Badland,Movie,No,2020-03-26,4,2020,11.0
44,Battleship,2022-03-04,10,10,-,Battleship,Movie,No,2022-03-01,3,2022,5.0
45,Beckett,2021-08-20,5,4,-,Beckett,Movie,Yes,2021-08-13,7,2021,33.285714285714285
46,Becoming,2020-05-11,6,5,-,Becoming,Movie,Yes,2020-05-06,5,2020,19.4
47,Below Zero,2021-02-04,6,2,-,Below Zero,Movie,Yes,2021-01-29,6,2021,33.833333333333336
48,Big Daddy,2020-10-08,10,7,-,Big Daddy,Movie,No,2020-10-01,3,2020,8.0
49,Bigfoot Family,2021-03-08,8,5,2,Bigfoot Family,Movie,Yes,2021-02-26,10,2021,46.1
50,Biggie: I Got A Story to Tell,2021-03-05,7,4,-,Biggie: I Got A Story to Tell,Movie,Yes,2021-03-01,4,2021,18.5
51,Black Island,2021-08-20,10,10,-,Black Island,Movie,Yes,2021-08-18,2,2021,1.5
52,Blackhat,2022-02-21,8,9,-,Blackhat,Movie,No,2022-02-16,4,2022,7.25
53,Blood Father,2020-04-03,10,6,-,Blood Father,Movie,No,2020-03-26,7,2020,33.666666666666664
54,Blood Red Sky,2021-08-01,10,9,1,Blood Red Sky,Movie,Yes,2021-07-23,9,2021,40.44444444444444
55,Blue Miracle,2021-06-04,9,9,3,Blue Miracle,Movie,Yes,2021-05-27,8,2021,28.25
56,"Bob Ross: Happy Accidents, …",2021-09-01,10,8,-,"Bob Ross: Happy Accidents, …",Movie,Yes,2021-08-25,7,2021,16.571428571428573
57,Braven,2020-12-22,5,5,-,Braven,Movie,No,2020-12-17,5,2020,15.8
58,Brazen,2022-01-23,8,10,2,Brazen,Movie,Yes,2022-01-13,10,2022,41.7
59,Britney vs Spears,2021-10-04,8,7,-,Britney vs Spears,Movie,Yes,2021-09-28,6,2021,26.0
60,Bruised,2021-12-02,9,4,2,Bruised,Movie,Yes,2021-11-24,8,2021,38.375
61,Can You Keep a Secret?,2022-02-02,9,10,-,Can You Keep a Secret?,Movie,No,2022-01-31,2,2022,2.0
62,Christmas on the Square,2020-11-23,8,-,-,Christmas on the Square,Movie,Yes,2020-11-22,1,2020,3.0
63,Cloudy with a Chance of Mea…,2020-11-26,9,7,4,Cloudy with a Chance of Mea…,Movie,No,2020-11-15,10,2020,26.61111111111111
64,Clueless,2020-06-06,10,7,-,Clueless,Movie,No,2014-01-01,4,2020,7.5
65,Code 8,2020-04-20,9,8,2,Code 8,Movie,No,2020-04-11,9,2020,32.44444444444444
66,Coffee & Kareem,2020-04-11,8,7,5,Coffee & Kareem,Movie,Yes,2020-04-03,8,2020,31.625
67,Colombiana,2020-10-09,10,9,-,Colombiana,Movie,No,2020-10-04,4,2020,6.5
68,Concrete Cowboy,2021-04-12,10,8,2,Concrete Cowboy,Movie,Yes,2021-04-02,10,2021,40.2
69,Cut Throat City,2021-01-25,6,5,-,Cut Throat City,Movie,No,2021-01-20,4,2021,16.75
70,Cuties,2020-09-16,7,7,-,Cuties,Movie,Yes,2020-09-09,5,2020,10.2
71,Da 5 Bloods,2020-06-19,7,4,-,Da 5 Bloods,Movie,Yes,2020-06-12,7,2020,34.285714285714285
72,Dangerous Lies,2020-05-08,9,6,2,Dangerous Lies,Movie,Yes,2020-04-30,8,2020,40.125
73,Dark Shadows,2022-01-05,10,-,-,Dark Shadows,Movie,No,2022-01-01,1,2022,1.0
74,Dead Man Down,2021-05-14,10,9,-,Dead Man Down,Movie,No,2013-11-06,6,2021,14.333333333333334
75,Deadly Illusions,2021-03-28,6,5,2,Deadly Illusions,Movie,Yes,2021-03-18,10,2021,47.0
76,Death to 2020,2021-01-04,9,7,6,Death to 2020,Movie,Yes,2020-12-27,8,2021,30.5
77,Death to 2021,2021-12-31,10,7,-,Death to 2021,Movie,Yes,2021-12-27,4,2021,9.25
78,Den of Thieves,2020-05-11,8,7,7,Den of Thieves,Movie,No,2020-05-01,9,2020,18.22222222222222
79,Dennis the Menace,2020-08-14,10,8,5,Dennis the Menace,Movie,No,2020-08-01,9,2020,16.333333333333332
80,Desperados,2020-07-14,10,10,4,Desperados,Movie,Yes,2020-07-03,11,2020,31.272727272727273
81,Despicable Me,2022-02-11,10,10,-,Despicable Me,Movie,No,2020-04-16,13,2022,54.46153846153846
82,Despicable Me 2,2022-03-01,8,9,9,Despicable Me 2,Movie,No,2022-02-01,27,2022,50.2962962962963
83,Django Unchained,2020-04-30,9,10,-,Django Unchained,Movie,No,2014-10-25,5,2020,4.8
84,Dog Gone Trouble,2021-06-11,9,8,3,Dog Gone Trouble,Movie,Yes,2021-05-28,14,2021,58.0
85,Donât Look Up,2022-01-19,10,9,5,Donât Look Up,Movie,Yes,2021-12-24,26,2022,115.6923076923077
86,Double Jeopardy,2020-07-07,10,10,-,Double Jeopardy,Movie,No,2016-06-01,2,2020,1.5
87,Dr. Seussâ The Lorax,2020-07-24,7,10,5,Dr. Seussâ The Lorax,Movie,No,2020-07-07,17,2020,56.23529411764706
88,Drunk Parents,2020-08-27,9,5,10,Drunk Parents,Movie,No,2020-08-17,8,2020,22.875
89,Due Date,2020-09-10,8,6,4,Due Date,Movie,No,2020-09-01,9,2020,26.11111111111111
90,Easy A,2020-11-10,8,8,-,Easy A,Movie,No,2020-11-01,6,2020,13.833333333333334
91,Enola Holmes,2020-10-05,7,6,2,Enola Holmes,Movie,Yes,2020-09-23,12,2020,56.25
92,Eurovision Song Contest: Th…,2020-07-04,9,8,2,Eurovision Song Contest: Th…,Movie,Yes,2020-06-26,8,2020,38.625
93,Extraction,2020-05-11,7,9,6,Extraction,Movie,Yes,2020-04-24,14,2020,63.07142857142857
94,Fatal Affair,2020-07-24,10,5,1,Fatal Affair,Movie,Yes,2020-07-16,8,2020,39.75
95,Fatherhood,2021-07-06,10,8,5,Fatherhood,Movie,Yes,2021-06-18,18,2021,81.0
96,Fear Street Part 1: 1994,2021-07-15,10,9,6,Fear Street Part 1: 1994,Movie,Yes,2021-07-02,13,2021,43.30769230769231
97,Fear Street Part 2: 1978,2021-07-16,10,8,-,Fear Street Part 2: 1978,Movie,Yes,2021-07-09,7,2021,23.0
98,Fear Street Part 3: 1666,2021-07-19,7,4,-,Fear Street Part 3: 1666,Movie,Yes,2021-07-16,3,2021,14.0
99,Feel the Beat,2020-07-01,7,8,5,Feel the Beat,Movie,Yes,2020-06-19,12,2020,35.416666666666664
100,Finding âOhana,2021-02-07,6,8,2,Finding âOhana,Movie,Yes,2021-01-29,9,2021,34.666666666666664
101,Fistful of Vengeance,2022-02-18,6,-,-,Fistful of Vengeance,Movie,Yes,2022-02-17,1,2022,5.0
102,Friends with Benefits,2021-04-08,10,6,-,Friends with Benefits,Movie,No,2021-04-01,7,2021,23.571428571428573
103,Going in Style,2021-10-20,10,10,-,Going in Style,Movie,No,2021-10-11,5,2021,5.2
104,Good on Paper,2021-07-01,10,8,6,Good on Paper,Movie,Yes,2021-06-23,8,2021,24.375
105,Green Lantern,2021-09-08,10,9,-,Green Lantern,Movie,No,2021-09-01,7,2021,22.285714285714285
106,Green Zone,2021-05-07,9,6,-,Green Zone,Movie,No,2021-05-01,6,2021,16.5
107,Grown Ups,2021-10-04,10,10,5,Grown Ups,Movie,No,2021-09-20,10,2021,32.0
108,Grumpy Christmas,2021-12-22,8,-,-,Grumpy Christmas,Movie,Yes,2021-12-21,1,2021,3.0
109,Gunpowder Milkshake,2021-07-20,9,5,-,Gunpowder Milkshake,Movie,Yes,2021-07-14,6,2021,25.666666666666668
110,Hard Kill,2020-11-30,8,9,-,Hard Kill,Movie,No,2020-11-23,6,2020,21.0
111,Hasta el cielo,2021-04-04,10,5,-,Hasta el cielo,Movie,Yes,2021-04-02,2,2021,6.5
112,Have a Good Trip: Adventure…,2020-05-17,10,10,-,Have a Good Trip: Adventure…,Movie,Yes,2020-05-11,5,2020,11.8
113,Here Comes the Boom,2021-11-24,6,7,-,Here Comes the Boom,Movie,No,2021-11-20,2,2021,6.5
114,Heâs All That,2021-09-05,8,8,1,Heâs All That,Movie,Yes,2021-08-27,9,2021,44.666666666666664
115,Hillbilly Elegy,2020-12-01,7,6,-,Hillbilly Elegy,Movie,Yes,2020-11-24,7,2020,33.714285714285715
116,His House,2020-11-03,7,4,-,His House,Movie,Yes,2020-10-30,4,2020,10.75
117,Holidate,2020-11-10,10,7,2,Holidate,Movie,Yes,2020-10-28,13,2020,60.23076923076923
118,Home,2021-09-30,9,-,-,Home,Movie,No,2021-05-25,21,2021,79.76190476190476
119,Home Team,2022-02-07,10,9,5,Home Team,Movie,Yes,2022-01-28,10,2022,28.7
120,Homefront,2021-02-01,8,8,2,Homefront,Movie,No,2021-01-18,12,2021,43.25
121,Hometown Holiday,2020-11-18,9,9,-,Hometown Holiday,Movie,No,2020-11-15,2,2020,3.0
122,Hop,2021-04-05,5,-,-,Hop,Movie,No,2020-01-16,2,2021,7.0
123,House at the End of the Street,2020-05-13,10,-,-,House at the End of the Street,Movie,No,2013-05-08,1,2020,1.0
124,How the Grinch Stole Christmas,2020-12-28,10,6,2,How the Grinch Stole Christmas,Movie,No,2017-06-01,29,2020,53.93103448275862
125,How to Train Your Dragon 2,2020-09-16,10,-,-,How to Train Your Dragon 2,Movie,No,2020-09-11,1,2020,1.0
126,Hubie Halloween,2020-11-02,10,5,9,Hubie Halloween,Movie,Yes,2020-10-07,19,2020,87.21052631578948
127,Hypnotic,2021-11-02,10,5,-,Hypnotic,Movie,Yes,2021-10-27,6,2021,17.0
128,I Am All Girls,2021-05-20,9,6,-,I Am All Girls,Movie,Yes,2021-05-14,6,2021,10.166666666666666
129,I Care a Lot.,2021-03-08,10,10,3,I Care a Lot.,Movie,Yes,2021-02-19,15,2021,69.13333333333334
130,I Now Pronounce You Chuck a…,2020-07-10,8,8,-,I Now Pronounce You Chuck a…,Movie,No,2018-03-01,5,2020,8.6
131,If Anything Happens I Love You,2020-11-25,10,8,-,If Anything Happens I Love You,Movie,Yes,2020-11-20,2,2020,3.5
132,Illumination Presents The G…,2020-12-04,6,9,6,Illumination Presents The G…,Movie,No,2019-06-05,24,2020,46.458333333333336
133,Intrusion,2021-09-30,6,9,-,Intrusion,Movie,Yes,2021-09-22,7,2021,24.857142857142858
134,Ip Man 4: The Finale,2020-07-27,10,7,-,Ip Man 4: The Finale,Movie,No,2020-07-21,5,2020,15.0
135,Jingle Jangle: A Christmas …,2020-12-26,8,8,-,Jingle Jangle: A Christmas …,Movie,Yes,2020-11-13,10,2020,28.6
136,Jiu Jitsu,2021-03-25,9,8,-,Jiu Jitsu,Movie,No,2021-03-20,4,2021,11.5
137,John Henry,2020-05-18,9,7,3,John Henry,Movie,No,2020-05-09,8,2020,33.125
138,Journey 2: The Mysterious I…,2022-01-07,9,8,-,Journey 2: The Mysterious I…,Movie,No,2022-01-01,6,2022,13.5
139,Jungle Beat: The Movie,2021-05-21,9,8,-,Jungle Beat: The Movie,Movie,No,2021-05-14,6,2021,10.833333333333334
140,Jurassic Park,2020-08-10,9,9,-,Jurassic Park,Movie,No,2020-08-01,6,2020,13.5
141,Just Go With It,2022-01-14,10,8,8,Just Go With It,Movie,No,2020-05-22,19,2022,37.36842105263158
142,Just Like Heaven,2022-03-07,10,10,-,Just Like Heaven,Movie,No,2022-03-01,4,2022,6.0
143,Kate,2021-09-30,10,-,9,Kate,Movie,Yes,2021-09-10,14,2021,60.857142857142854
144,King Arthur: Legend of the …,2021-11-01,8,7,-,King Arthur: Legend of the …,Movie,No,2021-10-25,6,2021,11.333333333333334
145,Klaus,2020-12-26,9,7,-,Klaus,Movie,Yes,2019-11-15,2,2020,5.0
146,Knock Knock,2020-11-11,8,7,3,Knock Knock,Movie,No,2020-11-01,9,2020,36.44444444444444
147,Kung Fu Panda,2021-07-09,10,9,-,Kung Fu Panda,Movie,No,2021-07-01,3,2021,3.6666666666666665
148,Latte & the Magic Waterstone,2020-08-05,10,7,-,Latte & the Magic Waterstone,Movie,Yes,2020-07-31,2,2020,4.5
149,Law Abiding Citizen,2021-12-16,9,7,7,Law Abiding Citizen,Movie,No,2018-12-16,8,2021,17.75
150,Legally Blonde,2021-04-12,8,9,-,Legally Blonde,Movie,Yes,2021-04-01,6,2021,7.166666666666667
151,Life,2021-12-08,9,9,-,Life,Movie,No,2021-12-01,7,2021,14.857142857142858
152,Lost Bullet,2020-06-26,9,7,-,Lost Bullet,Movie,Yes,2020-06-19,7,2020,20.428571428571427
153,Love,2020-07-01,10,10,7,Love,Movie,No,2016-02-04,8,2020,16.375
154,Love Happens,2021-05-07,10,5,-,Love Happens,Movie,No,2021-05-01,6,2021,18.333333333333332
155,Love Hard,2021-11-18,9,5,1,Love Hard,Movie,Yes,2021-11-05,13,2021,65.23076923076923
156,Love Wedding Repeat,2020-04-15,8,6,-,Love Wedding Repeat,Movie,Yes,2020-04-10,5,2020,17.6
157,"Love, Guaranteed",2020-09-11,7,5,3,"Love, Guaranteed",Movie,Yes,2020-09-03,8,2020,35.875
158,Ma Raineyâs Black Bottom,2020-12-22,7,1,-,Ma Raineyâs Black Bottom,Movie,Yes,2020-12-18,4,2020,23.5
159,Madagascar 3: Europe's Most…,2021-05-13,10,10,4,Madagascar 3: Europe's Most…,Movie,No,2021-05-01,12,2021,38.583333333333336
160,Magnetic,2020-06-22,10,8,-,Magnetic,Movie,No,2020-06-12,4,2020,4.5
161,Major Grom: Plague Doctor,2021-07-14,7,6,-,Major Grom: Plague Doctor,Movie,Yes,2021-07-07,5,2021,13.8
