Title,As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score,year
#Alive,2020-09-14,8,6,-,#Alive,Movie,Yes,2020-09-08,6,34,2020
17 Again,2021-01-08,8,5,-,17 Again,Movie,No,2021-01-01,7,33,2021
1BR,2020-08-29,10,6,-,1BR,Movie,No,2020-08-23,5,16,2020
2 Hearts,2021-06-13,10,10,4,2 Hearts,Movie,No,2021-06-02,11,57,2021
21 Jump Street,2021-11-10,10,9,5,21 Jump Street,Movie,No,2021-11-01,9,41,2021
30 Minutes or Less,2021-01-07,9,8,-,30 Minutes or Less,Movie,No,2021-01-01,5,16,2021
365 Days,2020-07-05,10,10,4,365 Days,Movie,Yes,2020-07-07,28,213,2020
A Babysitterâs Guide to Mon…,2020-10-19,6,6,-,A Babysitterâs Guide to Mon…,Movie,Yes,2020-10-15,3,15,2020
A Boy Called Christmas,2021-12-26,8,8,-,A Boy Called Christmas,Movie,Yes,2021-11-24,9,25,2021
A California Christmas,2020-12-22,8,3,1,A California Christmas,Movie,Yes,2020-12-14,8,69,2020
A California Christmas: Cit…,2021-12-22,9,6,-,A California Christmas: Cit…,Movie,Yes,2021-12-16,6,39,2021
A Castle for Christmas,2021-12-03,10,10,-,A Castle for Christmas,Movie,Yes,2021-11-26,7,30,2021
A Haunted House 2,2021-06-15,9,9,-,A Haunted House 2,Movie,No,2021-06-10,2,4,2021
A Thousand Words,2020-07-07,9,8,-,A Thousand Words,Movie,No,2020-07-01,4,13,2020
A Week Away,2021-03-31,10,10,-,A Week Away,Movie,Yes,2021-03-26,4,11,2021
After We Collided,2020-12-31,7,7,2,After We Collided,Movie,No,2020-12-22,9,59,2020
After We Fell,2022-01-21,9,4,-,After We Fell,Movie,No,2022-01-17,4,25,2022
Afterlife of the Party,2021-09-10,9,8,2,Afterlife of the Party,Movie,Yes,2021-09-02,8,49,2021
Aftermath,2021-08-12,8,8,-,Aftermath,Movie,Yes,2021-08-04,7,31,2021
Against the Ice,2022-03-04,9,9,-,Against the Ice,Movie,Yes,2022-03-02,2,4,2022
